artist	track_count	mean_popularity	median_popularity	std_popularity	min_popularity	max_popularity
XXXTENTACION	2	43.0	43.0	0.0	43	43
Aphex Twin	2	32.0	32.0	0.0	32	32
The Growlers	2	66.0	66.0	0.0	66	66
Ariana Grande	2	49.0	49.0	0.0	49	49
Sara Bareilles	2	50.0	50.0	0.0	50	50
Avenged Sevenfold	2	43.0	43.0	0.0	43	43
Panic! At The Disco	2	46.0	46.0	0.0	46	46
Ayumi Hamasaki	2	36.5	36.5	3.54	34	39
Seven Lions	2	43.0	43.0	7.07	38	48
Shakey Graves	2	31.0	31.0	0.0	31	31
Shane & Shane	2	42.5	42.5	17.68	30	55
BROCKHAMPTON	2	53.0	53.0	0.0	53	53
Chorus	2	0.0	0.0	0.0	0	0
Stevie Ray Vaughan	2	48.5	48.5	26.16	30	67
DROELOE	2	41.0	41.0	0.0	41	41
Tech N9ne	2	18.0	18.0	0.0	18	18
Five Finger Death Punch	2	57.0	57.0	0.0	57	57
Fetty Wap	2	68.0	68.0	0.0	68	68
Kanye West	2	46.0	46.0	0.0	46	46
Lil Yachty	2	65.0	65.0	0.0	65	65
Danny Elfman	2	27.0	27.0	2.83	25	29
Leon Bridges	2	43.0	43.0	0.0	43	43
Lana Del Rey	2	53.0	53.0	0.0	53	53
Tom Misch	2	55.5	55.5	17.68	43	68
FLOW	2	39.5	39.5	7.78	34	45
Dierks Bentley	2	44.0	44.0	1.41	43	45
Mac Miller	2	33.0	33.0	1.41	32	34
Tedeschi Trucks Band	2	43.0	43.0	29.7	22	64
Sylvan Esso	2	50.0	50.0	0.0	50	50
Dirty Heads	2	53.5	53.5	12.02	45	62
Dorothée	2	3.5	3.5	3.54	1	6
DragonForce	2	29.5	29.5	7.78	24	35
Jon Hopkins	2	52.0	52.0	0.0	52	52
The Black Keys	2	42.5	42.5	7.78	37	48
Eric Bellinger	2	46.0	46.0	0.0	46	46
The Revivalists	2	62.0	62.0	0.0	62	62
Tenth Avenue North	2	60.0	60.0	1.41	59	61
El Alfa	2	58.0	58.0	0.0	58	58
Thomas Bergersen	2	60.5	60.5	4.95	57	64
Thomas Rhett	2	52.0	52.0	0.0	52	52
Little Dragon	2	43.0	43.0	14.14	33	53
Thomas Newman	2	47.0	47.0	1.41	46	48
Tove Lo	2	58.0	58.0	0.0	58	58
Liz Callaway	2	35.0	35.0	42.43	5	65
Gary Clark Jr.	2	33.0	33.0	1.41	32	34
John Powell	2	29.5	29.5	2.12	28	31
Tribal Seeds	2	58.0	58.0	0.0	58	58
The Supervillains	2	54.0	54.0	0.0	54	54
Lynyrd Skynyrd	2	48.0	48.0	14.14	38	58
Strung Out	2	41.5	41.5	17.68	29	54
Sublime	2	46.0	46.0	0.0	46	46
Suburban Legends	2	25.0	25.0	9.9	18	32
Foo Fighters	2	43.0	43.0	0.0	43	43
Los Cafres	2	53.0	53.0	0.0	53	53
DJ Nelson	2	45.0	45.0	24.04	28	62
Local Natives	2	73.0	73.0	0.0	73	73
Travis Scott	2	64.0	64.0	0.0	64	64
Justin Moore	2	63.0	63.0	0.0	63	63
Zeds Dead	1	18.0	18.0		18	18
Richard M. Sherman	1	0.0	0.0		0	0
Röyksopp	1	43.0	43.0		43	43
Robin Williams	1	23.0	23.0		23	23
The Slackers	1	66.0	66.0		66	66
SOJA	1	65.0	65.0		65	65
The Smashing Pumpkins	1	62.0	62.0		62	62
The Mighty Mighty Bosstones	1	28.0	28.0		28	28
The Who	1	28.0	28.0		28	28
The Band	1	37.0	37.0		37	37
The 1975	1	38.0	38.0		38	38
Yandel	1	28.0	28.0		28	28
Richard Wagner	1	5.0	5.0		5	5
The Lawrence Arms	1	18.0	18.0		18	18
The Wonder Kids	1	64.0	64.0		64	64
Rodney Carrington	1	21.0	21.0		21	21
The Aquabats!	1	27.0	27.0		27	27
The-Dream	1	33.0	33.0		33	33
The Wood Brothers	1	25.0	25.0		25	25
Zion & Lennox	1	25.0	25.0		25	25
Stevie Wonder	1	50.0	50.0		50	50
Todd Barry	1	18.0	18.0		18	18
Sammie	1	65.0	65.0		65	65
United Pursuit	1	43.0	43.0		43	43
Stephen Marley	1	33.0	33.0		33	33
Trippie Redd	1	64.0	64.0		64	64
Stephen Lynch	1	37.0	37.0		37	37
SoMo	1	64.0	64.0		64	64
Stick Figure	1	43.0	43.0		43	43
Two Steps from Hell	1	48.0	48.0		48	48
Trebol Clan	1	58.0	58.0		58	58
The Chemical Brothers	1	40.0	40.0		40	40
Sleeping At Last	1	58.0	58.0		58	58
Sufjan Stevens	1	50.0	50.0		50	50
UPPERROOM	1	39.0	39.0		39	39
Umberto Giordano	1	16.0	16.0		16	16
Skillet	1	43.0	43.0		43	43
The Raconteurs	1	53.0	53.0		53	53
Santana	1	26.0	26.0		26	26
The Prodigy	1	62.0	62.0		62	62
Wax Tailor	1	47.0	47.0		47	47
The Flatliners	1	30.0	30.0		30	30
Weird Al Yankovic	1	31.0	31.0		31	31
Tony Dize	1	39.0	39.0		39	39
Tony Bennett	1	48.0	48.0		48	48
Tom Papa	1	20.0	20.0		20	20
Shawn Mendes	1	52.0	52.0		52	52
Taj Mahal	1	25.0	25.0		25	25
Shania Twain	1	50.0	50.0		50	50
Tim McGraw	1	54.0	54.0		54	54
ScHoolboy Q	1	49.0	49.0		49	49
The Montreal Children's Workshop	1	0.0	0.0		0	0
The Beat Bugs	1	0.0	0.0		0	0
10 Ft. Ganja Plant	1	27.0	27.0		27	27
Rend Collective	1	30.0	30.0		30	30
Farruko	1	39.0	39.0		39	39
Excision	1	43.0	43.0		43	43
Ennio Morricone	1	41.0	41.0		41	41
Emancipator	1	49.0	49.0		49	49
Ella Fitzgerald	1	20.0	20.0		20	20
Elevation Worship	1	47.0	47.0		47	47
Eddie Izzard	1	37.0	37.0		37	37
Dustin Lynch	1	46.0	46.0		46	46
Dr. John	1	29.0	29.0		29	29
Donny Osmond	1	21.0	21.0		21	21
Dispatch	1	55.0	55.0		55	55
Dillon Francis	1	46.0	46.0		46	46
Desmond Dekker	1	66.0	66.0		66	66
Dean Martin	1	20.0	20.0		20	20
Dario Marianelli	1	25.0	25.0		25	25
Dan Zanes	1	0.0	0.0		0	0
Falcom Sound Team jdk	1	20.0	20.0		20	20
Felipe Esparza	1	14.0	14.0		14	14
Rancid	1	62.0	62.0		62	62
Flatbush Zombies	1	55.0	55.0		55	55
Harry Gregson-Williams	1	37.0	37.0		37	37
Hap Palmer	1	64.0	64.0		64	64
HONNE	1	50.0	50.0		50	50
Gustav Mahler	1	0.0	0.0		0	0
Groundation	1	40.0	40.0		40	40
Grizfolk	1	46.0	46.0		46	46
Gramatik	1	32.0	32.0		32	32
Goldfinger	1	46.0	46.0		46	46
Georges Bizet	1	18.0	18.0		18	18
George Bruns	1	78.0	78.0		78	78
Gaetano Donizetti	1	4.0	4.0		4	4
Fuego	1	60.0	60.0		60	60
Frédéric Chopin	1	29.0	29.0		29	29
Frank Churchill	1	1.0	1.0		1	1
Four Tet	1	53.0	53.0		53	53
Daft Punk	1	39.0	39.0		39	39
DJ Shadow	1	36.0	36.0		36	36
D.L. Hughley	1	73.0	73.0		73	73
Comedian Bob Marley	1	14.0	14.0		14	14
Baby Rasta & Gringo	1	28.0	28.0		28	28
Anti-Flag	1	38.0	38.0		38	38
Angus & Julia Stone	1	46.0	46.0		46	46
Andrea Bocelli	1	20.0	20.0		20	20
Alonzo Bodden	1	31.0	31.0		31	31
Alborosie	1	32.0	32.0		32	32
Al Green	1	60.0	60.0		60	60
Akon	1	45.0	45.0		45	45
Against Me!	1	49.0	49.0		49	49
Aer	1	41.0	41.0		41	41
Adolphe Adam	1	15.0	15.0		15	15
Adam Sandler	1	11.0	11.0		11	11
ASIAN KUNG-FU GENERATION	1	55.0	55.0		55	55
A Boogie Wit da Hoodie	1	71.0	71.0		71	71
5 Seconds of Summer	1	55.0	55.0		55	55
Bassnectar	1	24.0	24.0		24	24
Bear McCreary	1	41.0	41.0		41	41
Bernard Minet	1	0.0	0.0		0	0
Brian Regan	1	33.0	33.0		33	33
Collie Buddz	1	62.0	62.0		62	62
Christina Aguilera	1	64.0	64.0		64	64
Chris Rock	1	73.0	73.0		73	73
Charles Gounod	1	9.0	9.0		9	9
Chad Daniels	1	32.0	32.0		32	32
Capcom Sound Team	1	13.0	13.0		13	13
Brian Posehn	1	20.0	20.0		20	20
Big Gigantic	1	39.0	39.0		39	39
Brantley Gilbert	1	44.0	44.0		44	44
Bob Marley & The Wailers	1	76.0	76.0		76	76
Blood Orange	1	51.0	51.0		51	51
Blockhead	1	31.0	31.0		31	31
Blake Shelton	1	43.0	43.0		43	43
Bill Hicks	1	15.0	15.0		15	15
Idina Menzel	1	19.0	19.0		19	19
J Alvarez	1	53.0	53.0		53	53
J.J. Cale	1	16.0	16.0		16	16
Maluma	1	53.0	53.0		53	53
Nicky Jam	1	28.0	28.0		28	28
New Order	1	32.0	32.0		32	32
Nat King Cole	1	64.0	64.0		64	64
MxPx	1	19.0	19.0		19	19
Monty Python	1	18.0	18.0		18	18
Miranda Lambert	1	40.0	40.0		40	40
Michael Giacchino	1	35.0	35.0		35	35
Michael Franti & Spearhead	1	33.0	33.0		33	33
Metronomy	1	42.0	42.0		42	42
Max Richter	1	32.0	32.0		32	32
Matisyahu	1	32.0	32.0		32	32
Massive Attack	1	32.0	32.0		32	32
Masked Intruder	1	41.0	41.0		41	41
Marvin Gaye	1	56.0	56.0		56	56
Marc Maron	1	18.0	18.0		18	18
No Use For A Name	1	46.0	46.0		46	46
Old Town School of Folk Music	1	1.0	1.0		1	1
Olga Tanon	1	22.0	22.0		22	22
Phantogram	1	66.0	66.0		66	66
Rammstein	1	70.0	70.0		70	70
Radha	1	0.0	0.0		0	0
RADWIMPS	1	21.0	21.0		21	21
Popcaan	1	61.0	61.0		61	61
Planetshakers	1	43.0	43.0		43	43
Phil Wickham	1	43.0	43.0		43	43
Pepper	1	36.0	36.0		36	36
Omar Apollo	1	64.0	64.0		64	64
Pendulum	1	46.0	46.0		46	46
Pearl Bailey	1	0.0	0.0		0	0
Paul Mooney	1	16.0	16.0		16	16
Patton Oswalt	1	18.0	18.0		18	18
Patrick Doyle	1	21.0	21.0		21	21
P!nk	1	71.0	71.0		71	71
Manu Chao	1	55.0	55.0		55	55
Mad Caddies	1	33.0	33.0		33	33
Jack White	1	26.0	26.0		26	26
Léo Delibes	1	11.0	11.0		11	11
Katherine Jenkins	1	23.0	23.0		23	23
Katastro	1	68.0	68.0		68	68
Justin Hurwitz	1	43.0	43.0		43	43
Justin Bieber	1	58.0	58.0		58	58
Justice	1	43.0	43.0		43	43
Judy Kuhn	1	32.0	32.0		32	32
Jowell & Randy	1	53.0	53.0		53	53
Jory Boy	1	26.0	26.0		26	26
John Heffron	1	42.0	42.0		42	42
Joey Montana	1	58.0	58.0		58	58
Jodi Benson	1	31.0	31.0		31	31
Jimmy Cliff	1	15.0	15.0		15	15
Jimi Hendrix	1	45.0	45.0		45	45
Jesus Culture	1	50.0	50.0		50	50
Jason Aldean	1	42.0	42.0		42	42
Katt Williams	1	21.0	21.0		21	21
Kevin Penkin	1	35.0	35.0		35	35
Kip Moore	1	21.0	21.0		21	21
Lorie	1	5.0	5.0		5	5
Luther Vandross	1	40.0	40.0		40	40
Ludwig Goransson	1	35.0	35.0		35	35
Los Fabulosos Cadillacs	1	49.0	49.0		49	49
Los Enanitos Verdes	1	58.0	58.0		58	58
Los Auténticos Decadentes	1	51.0	51.0		51	51
Lorne Balfe	1	25.0	25.0		25	25
Little Feat	1	26.0	26.0		26	26
Kristin Chenoweth	1	19.0	19.0		19	19
Less Than Jake	1	16.0	16.0		16	16
Lee Brice	1	44.0	44.0		44	44
Lagwagon	1	21.0	21.0		21	21
Lady Antebellum	1	43.0	43.0		43	43
L'Arc-en-Ciel	1	58.0	58.0		58	58
Kyle Dixon & Michael Stein	1	43.0	43.0		43	43
majiko	1	34.0	34.0		34	34
