Moneybagg Yo	100
Monty Python	74
Mrs. GREEN APPLE	65
Ms. Lauryn Hill	55
Muddy Waters	62
Mulatu Astatke	54
Music For Little People Choir	168
Mustard Plug	54
Mychael Danna	52
MY FIRST STORY	72
Nat King Cole	66
Nengo Flow	86
New Order	114
Nicholas Britell	70
Nicki Minaj	140
Nick Jonas	72
Nicky Jam	141
Night Lovell	57
Nightmares On Wax	80
Nina Simone	179
Nobuo Uematsu	806
Norah Jones	122
Nothing But Thieves	55
No Use For A Name	71
Novo Amor	60
Nursery Rhymes ABC	59
Nursery Rhymes and Kids Songs	87
Of Monsters and Men	76
Old Town School of Folk Music	74
Olga Tanon	66
Oliver Wallace	109
Olivia O'Brien	62
Omar Apollo	84
One Direction	134
Otis Redding	119
Panic! At The Disco	123
Panteon Rococo	73
Papa Roach	104
Passion Pit	82
Patrick Doyle	116
Patton Oswalt	113
Paul Mooney	78
Pearl Bailey	85
Pearl Jam	106
Peter Tosh	60
Philip Glass	246
Phil Wickham	132
Pink Floyd	53
Plan B	68
Playboi Carti	97
PnB Rock	72
Polo Polo	77
Portugal. The Man	74
Post Malone	81
Preschool Kids	103
Project Destati	57
Queens of the Stone Age	159
Quinn XCII	124
Rachel Portman	64
Rae Sremmurd	88
Rage Against The Machine	109
Rainbow Kitten Surprise	140
Ralphie May	95
Ramin Djawadi	247
Random Rab	59
Randy Edelman	53
Randy Newman	725
Rascal Flatts	104
Ravyn Lenae	72
Ray Charles	119
Ray LaMontagne	60
Red Hot Chili Peppers	206
Reel Big Fish	216
Rend Collective	95
Rex Orange County	69
Richard M. Sherman	113
Richard Pryor	72
Richard Wagner	266
Rick Ross	63
Riders In The Sky	198
Rise Against	63
Rival Sons	51
R.K.M & Ken-Y	69
RL Grime	56
Robin Williams	57
Rodney Carrington	136
Rodrigo y Gabriela	73
Roy Woods	131
Ruggero Leoncavallo	57
Run The Jewels	106
Rupert Gregson-Williams	59
Rx Bandits	66
Ryuichi Sakamoto	268
Sabrina Claudio	123
Sam Cooke	73
San Holo	65
Sara Bareilles	72
ScHoolboy Q	64
Screeching Weasel	58
Seven Lions	76
SG Lewis	66
Shakey Graves	60
Shane & Shane	242
Shania Twain	58
Shawn Mendes	107
Sheena Ringo	98
Shiro Sagisu	75
Shoreline Mafia	66
Shovels & Rope	55
SILENT SIREN	59
Simon & Garfunkel	69
Ski Mask The Slump God	91
Sleeping At Last	107
Slightly Stoopid	178
Snoh Aalegra	66
Soda Stereo	169
Stan Getz	54
Star Cast	58
Steel Pulse	65
Steely Dan	121
Stephen Lynch	92
Stephen Marley	57
Steve Byrne	54
Steve Hofstetter	69
Steve Jablonsky	59
Steve Martin	68
Steve Miller Band	54
Stevie Ray Vaughan	71
Stevie Wonder	55
Stick Figure	83
Sticky Fingers	74
Stone Temple Pilots	61
Strung Out	103
Sturgill Simpson	101
Suburban Legends	51
Sufjan Stevens	93
Sugar Kane Music	148
Susan Egan	61
Sylvan Esso	51
System Of A Down	183
Taj Mahal	70
Talking Heads	68
Taylor Swift	178
Tech N9ne	105
Tedeschi Trucks Band	88
Tee Grizzley	86
Teenage Bottlerocket	95
Tego Calderon	98
Tenacious D	74
Tenth Avenue North	98
Teyana Taylor	69
The Afters	55
The Aggrolites	53
The Allman Brothers Band	80
The Aquabats!	84
The Avalanches	54
The Avett Brothers	215
The Band	67
The Band CAMINO	64
The Beach Boys	58
The Beat Bugs	64
The Beatles	139
