Henri Salvador	Dans Mon Île
Henri Salvador	Cheveux dans le vent
Chorus	Om Namah Shivaye Chant
Karine Costa	Good Bye My Friends
Randy Newman	Parenthood (Karen & Gil / Montage)
Jean Piat	Tout allait bien jusque-là dans cet immense couvent
Leopold Stokowski	Symphony No.1 In C Major : I. Allegro Vivo
Henri Salvador	Bon à rien
Idoles De La Musique	Parce qu'on sait jamais
Chorus	Odhi is ieron lohon (Ode to Sacred Battalion)
Chorus	Le sourire d'Anaëlle
Henri Salvador	Qh'ech que ch'est qu'cha?
Randy Newman	Eliza
Henri Salvador	Ciel de Paris
Chorus	Yia se ghlikia patridha (For You Sweet Motherland)
Claire Guyot	Indiciblement
Jean Claude Corbel	Les pachydermes
Henri Salvador	Le Cid - Remastered
Chorus	Sundar Bate Tabe
Jean Claude Corbel	Les charognards
Bernard Minet	Dragon Ball et Dragon Ball Z
Jodi Benson	God Sees Inside Me
Henri Salvador	Re-bonjour
Generation B.O.	Don't Cry For Me Argentina (B.O. "Evita")
Céline Languedoc	Soley an mwen
Chorus	I 25 martiou (The 25th of March)
Henri Salvador	Le Carosse Blanc - Remastered
Leopold Stokowski	Symphony No.4 In E Minor Op.98 : II. Andante
Dominique Tirmont	Maman si douce
Randy Newman	Henry Goes To Work
Les Hérissons	Frou Frou
Chorus	Hindolam
Leopold Stokowski	L'ascension : III. Alleluias On The Trumpet And On The Cymbal
Henri Salvador	Le Pingouin - Remastered
Henri Salvador	Le clochard
Chorus	Mann Biachen
Jean Claude Corbel	Aladin 4
Anthony Kavanagh	J'Ai Vu Partir
Jean Claude Corbel	Le bord de mer
Bernard Minet	Dis moi monsieur Bernard Minet
Le Club des Juniors	But pour Rudy
Chorus	Gia Ke Hara Sou Geronta
Jean Piat	Ce fut en vain qu'Hélène de retour dans Albano
Bernard Minet	Les filles sont si jolies
Chorus	To parelthon ke to mellon (The Past and the Future)
Leopold Stokowski	Rimsky-Korsakov: Flight of the Bumblebee - Leopold Stokowksi Transcriptions
Marie-Thérèse Orain	Intacte
Dominique Tirmont	Mon beau sapin
Chorus	Tylko ty
Henri Salvador	Ma chère et tendre - live
Frank Churchill	Snow White and the Seven Dwarfs: Dwarf's Yodel Song (arr. H. Frommermann)
Leopold Stokowski	Tristan und Isolde (Love Music from Acts II & III)
Anthony Kavanagh	Ton Homme
Henri Salvador	Bon À Rien
Dominique Tirmont	Aquelos mountagnos "Se Canto"
Anthony Kavanagh	Jamais
Chorus	Sukhkarta Dukhharta - Aarti
Jean Piat	Le lendemain qui était un dimanche
Henri Salvador	Toi - live
Henri Salvador	Adieu Foulards Adieu Madras
Idoles De La Musique	Parler d'amour
Leopold Stokowski	Symphony No.4 In E Minor Op.98 : III. Allegro Giocoso Poco Meno Presto
Marie-Thérèse Orain	J'ai douze ans
Henri Salvador	J'aimerais tellement ca
Chorus	Tripplestar Camp
Michel Roux	Maître Pierre : Tableau II - Très illustres docteurs
Chorus	Je n'ai pas de problème
Henri Salvador	Les yeux des Muchachos
Henri Salvador	Parce que ça me donne du courage
Henri Salvador	Silence On Tourne
Martin & les fées	Tout est possible (par Lisa Angell)
Frank Churchill	The Silly Song
Henri Salvador	Adieu 'Adios' - Remastered
