genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Pop,Pitbull,Timber,3cHyrEgdyYRjgJKSOiOtcS,76,0.0295,0.581,204160,0.963,0,B,0.139,-4.087,Major,0.0981,129.992,4/4,0.788
Jazz,Cindy Bradley,Lifted,11uTYvnSU7RdiP8VQ2wHZc,28,0.746,0.631,294827,0.645,0.926,D,0.156,-8.032,Minor,0.0348,91.977,4/4,0.52
Folk,Nick Drake,Know,16QcqyiNj7m5jbFGBVo4df,44,0.89,0.696,143133,0.0565,0.659,D,0.11,-20.36,Major,0.0604,120.453,4/4,0.68
Children's Music,Little Apple Band,The Muppets Show Closing Theme,37Dq2hnLx1JYUduv61em0k,0,0.83,0.877,58906,0.415,0.0083,D,0.309,-9.47,Major,0.109,114.86,4/4,0.905
Dance,Timeflies,Undress Rehearsal,1aPqexHVW20OTamBHdWWVL,58,0.00456,0.953,214787,0.652,0,B,0.0287,-4.159,Minor,0.0849,122.997,4/4,0.73
Reggaeton,Fanny Lu,El Perfume,1ZO7LMZSDCofRLPs5tEI0D,36,0.0761,0.664,215672,0.914,0,F,0.196,-4.981,Major,0.0955,107.957,4/4,0.488
Folk,Jon Bryant,I Saw You,5Ds7yCV2VnxWFkB0dThZZF,44,0.906,0.479,304925,0.185,0.00241,G,0.113,-15.164,Major,0.0406,66.907,4/4,0.149
Children’s Music,Five Finger Death Punch,Top of the World,4OByevsPyv1LWlWcULLMLB,57,0.00105,0.484,162052,0.983,0,F#,0.208,-3.904,Major,0.0779,74.015,4/4,0.723
Comedy,Brian Regan,Flipper & Gentle Ben,4K4w5oi8LjjnIbbQhPKweJ,33,0.798,0.513,128027,0.569,4.86e-06,D#,0.878,-14.377,Major,0.906,169.077,5/4,0.334
Country,Joe Diffie,It's Always Somethin',7rGFyfE73J6lkEvFnCHucC,36,0.0452,0.61,178533,0.83,0.000211,A,0.163,-4.772,Major,0.0343,90.024,4/4,0.566
Alternative,Queens of the Stone Age,The Lost Art Of Keeping A Secret,1RwDsaft1szD0FO3DVEtaT,45,0.0776,0.548,216000,0.812,0.00929,C#,0.712,-4.702,Major,0.0349,110.778,4/4,0.396
Reggae,Jah Roots,Crucial,79bc8caC9PKZYxo3B6iHKn,31,0.189,0.538,263947,0.785,0,A,0.134,-7.056,Minor,0.146,178.917,4/4,0.844
Pop,Missy Elliott,Work It,3jagJCUbdqhDSPuxP8cAqF,72,0.0778,0.884,263227,0.677,0,C#,0.0732,-5.603,Major,0.283,101.868,4/4,0.584
Classical,César Franck,Sonata for Violin and Piano in A: 4. Allegretto poco mosso,1wmmlJxCrOPfFO6o4gel78,32,0.956,0.205,381000,0.168,0.00252,A,0.167,-20.554,Major,0.048,78.785,4/4,0.217
Country,Adam Calhoun,My Town,0IN2aIwzvwFuCBe9Q4sO7U,45,0.157,0.857,163216,0.65,0,C,0.0653,-4.939,Minor,0.151,114.992,4/4,0.185
Children’s Music,Oh No,Welcome To Los Santos,5ZZuiMFxl85qakgTZQapsc,51,0.239,0.686,154280,0.433,0.18,E,0.0898,-8.9,Minor,0.0339,88.981,4/4,0.389
