artist	genre	popularity	c4	c5
Lil Baby	Rap	68	0.638	0.823
Lil Wayne	Hip-Hop	64	0.598	0.929
Lil Wayne	Rap	70	0.577	0.578
Lil Wayne	Rap	75	0.684	0.679
Linkin Park	Alternative	51	0.927	0.501
Linkin Park	Children’s Music	57	0.677	0.75
Little Mix	R&B	62	0.595	0.445
Lloyd	R&B	44	0.724	0.529
Los Auténticos Decadentes	Ska	51	0.764	0.364
Los Fabulosos Cadillacs	Ska	49	0.898	0.623
Los Prisioneros	Rock	63	0.624	0.585
Luther Vandross	Soul	40	0.205	0.404
Låpsley	Indie	56	0.403	0.689
MARINA	Indie	55	0.812	0.614
MadeinTYO	Rap	60	0.452	0.846
Majik	Soul	43	0.601	0.484
Mandisa	Alternative	49	0.691	0.63
Manu Chao	World	55	0.753	0.644
Margot & The Nuclear So And So's	Indie	42	0.578	0.487
Mariah Carey	R&B	57	0.529	0.7
Mariah Carey	R&B	58	0.691	0.701
Mark Diamond	Folk	46	0.67	0.635
Martin Jensen	Pop	66	0.674	0.601
Marty Robbins	Folk	51	0.321	0.463
Marvin Gaye	Soul	56	0.415	0.677
Mary Gauthier	Children’s Music	56	0.256	0.575
Masked Intruder	Ska	41	0.933	0.659
Matt Maltese	Folk	42	0.208	0.498
Matthew West	Children’s Music	46	0.669	0.407
Meek Mill	Hip-Hop	53	0.728	0.624
Meek Mill	Hip-Hop	65	0.87	0.37
MercyMe	Children’s Music	62	0.582	0.335
Meredith Andrews	Rock	54	0.501	0.225
Merkules	Hip-Hop	53	0.851	0.466
Metallica	Rock	68	0.687	0.438
Metric	Dance	49	0.802	0.576
Metronomy	Electronic	42	0.605	0.75
Michelle Simonal	Jazz	50	0.422	0.772
Mick Jenkins	Hip-Hop	51	0.399	0.488
Miguel	Dance	74	0.603	0.684
Mike Posner	Pop	72	0.82	0.768
Miranda Lambert	Country	40	0.731	0.408
Missy Elliott	Pop	72	0.677	0.884
MisterWives	Rock	58	0.826	0.657
Mitchell Tenpenny	Country	61	0.731	0.375
Moneybagg Yo	Hip-Hop	58	0.583	0.8
