artist                        	 count	 avg_pop	 min_pop	 max_pop
Ashley Tisdale                	     1	   64.00	   64.00	   64.00
A Tribe Called Quest          	     1	   58.00	   58.00	   58.00
Bad Bunny                     	     1	   81.00	   81.00	   81.00
Baka Not Nice                 	     1	   64.00	   64.00	   64.00
Beach House                   	     2	   48.00	   45.00	   51.00
Bear McCreary                 	     1	   41.00	   41.00	   41.00
Bear's Den                    	     1	   51.00	   51.00	   51.00
Beastie Boys                  	     1	   66.00	   66.00	   66.00
Beats Antique                 	     1	   47.00	   47.00	   47.00
Bebe Rexha                    	     1	   70.00	   70.00	   70.00
Ben Rector                    	     1	   50.00	   50.00	   50.00
Better Oblivion Community Center	     2	   58.50	   58.00	   59.00
Between The Buried And Me     	     1	   48.00	   48.00	   48.00
Big Sean                      	     1	   60.00	   60.00	   60.00
Black Label Society           	     1	   52.00	   52.00	   52.00
Black Veil Brides             	     1	   47.00	   47.00	   47.00
Blitzen Trapper               	     1	   60.00	   60.00	   60.00
Blue October                  	     1	   47.00	   47.00	   47.00
Bobby Bare                    	     1	   47.00	   47.00	   47.00
Bobby V.                      	     1	   67.00	   67.00	   67.00
Bob Seger                     	     1	   49.00	   49.00	   49.00
Bon Iver                      	     1	   59.00	   59.00	   59.00
Bon Jovi                      	     1	   66.00	   66.00	   66.00
Bonnie Raitt                  	     1	   40.00	   40.00	   40.00
Boyz II Men                   	     1	   42.00	   42.00	   42.00
Brad Paisley                  	     1	   47.00	   47.00	   47.00
Brantley Gilbert              	     1	   44.00	   44.00	   44.00
Breaking Benjamin             	     1	   65.00	   65.00	   65.00
Brent Faiyaz                  	     1	   58.00	   58.00	   58.00
Brett Eldredge                	     2	   50.50	   41.00	   60.00
Brett Young                   	     1	   50.00	   50.00	   50.00
Brian Johnson                 	     1	   52.00	   52.00	   52.00
Bright Eyes                   	     2	   47.50	   46.00	   49.00
Britney Spears                	     1	   70.00	   70.00	   70.00
Bruce Springsteen             	     1	   51.00	   51.00	   51.00
Bryant Myers                  	     1	   46.00	   46.00	   46.00
Cafe Jazz Deluxe              	     1	   42.00	   42.00	   42.00
Calvin Harris                 	     1	   81.00	   81.00	   81.00
Can't Swim                    	     2	   44.50	   43.00	   46.00
Carrie Underwood              	     1	   48.00	   48.00	   48.00
Cartel De Santa               	     1	   61.00	   61.00	   61.00
Casting Crowns                	     1	   43.00	   43.00	   43.00
Cécile McLorin Salvant        	     1	   47.00	   47.00	   47.00
Celso Piña                    	     1	   59.00	   59.00	   59.00
Chase Rice                    	     1	   65.00	   65.00	   65.00
Chastity Belt                 	     1	   55.00	   55.00	   55.00
Chet Baker                    	     1	   49.00	   49.00	   49.00
Chris Brown                   	     2	   64.50	   61.00	   68.00
Christina Perri               	     1	   71.00	   71.00	   71.00
Chris Webby                   	     1	   53.00	   53.00	   53.00
Chris Young                   	     2	   65.50	   60.00	   71.00
Chubby Checker                	     1	   59.00	   59.00	   59.00
Chuck Wicks                   	     1	   50.00	   50.00	   50.00
Chyno Miranda                 	     1	   58.00	   58.00	   58.00
Coal Chamber                  	     1	   53.00	   53.00	   53.00
Colt Ford                     	     1	   53.00	   53.00	   53.00
Corinne Bailey Rae            	     1	   64.00	   64.00	   64.00
Craig Cardiff                 	     1	   68.00	   68.00	   68.00
Cultura Profética             	     2	   60.00	   55.00	   65.00
Curtis Mayfield               	     1	   53.00	   53.00	   53.00
Daddy Yankee                  	     4	   63.00	   41.00	   98.00
Damien Rice                   	     1	   59.00	   59.00	   59.00
Dan Auerbach                  	     3	   49.33	   44.00	   56.00
David August                  	     2	   49.50	   45.00	   54.00
Death Cab for Cutie           	     2	   61.00	   60.00	   62.00
Declan J Donovan              	     1	   65.00	   65.00	   65.00
Denzel Curry                  	     1	   64.00	   64.00	   64.00
Dimitri Vegas & Like Mike     	     1	   72.00	   72.00	   72.00
Dinah Washington              	     1	   41.00	   41.00	   41.00
Dire Straits                  	     1	   62.00	   62.00	   62.00
Dirty Heads                   	     1	   45.00	   45.00	   45.00
Donell Jones                  	     1	   55.00	   55.00	   55.00
Don Omar                      	     2	   60.00	   53.00	   67.00
Drax Project                  	     1	   79.00	   79.00	   79.00
Duke Dumont                   	     1	   64.00	   64.00	   64.00
Dylan Scott                   	     1	   46.00	   46.00	   46.00
Earl Sweatshirt               	     1	   47.00	   47.00	   47.00
Easy Life                     	     1	   55.00	   55.00	   55.00
El Alfa                       	     1	   58.00	   58.00	   58.00
Electric Guest                	     1	   46.00	   46.00	   46.00
Elevation Worship             	     1	   47.00	   47.00	   47.00
Eli Young Band                	     1	   67.00	   67.00	   67.00
Elmore James                  	     1	   51.00	   51.00	   51.00
Emily King                    	     1	   41.00	   41.00	   41.00
Emotional Oranges             	     1	   48.00	   48.00	   48.00
Empire of the Sun             	     1	   60.00	   60.00	   60.00
Ennio Morricone               	     1	   41.00	   41.00	   41.00
Eric Bellinger                	     1	   46.00	   46.00	   46.00
Erykah Badu                   	     1	   61.00	   61.00	   61.00
Esperanza Spalding            	     1	   50.00	   50.00	   50.00
Etta James                    	     1	   47.00	   47.00	   47.00
Fiona Apple                   	     1	   62.00	   62.00	   62.00
Fitz and The Tantrums         	     1	   56.00	   56.00	   56.00
Five Finger Death Punch       	     1	   57.00	   57.00	   57.00
